Datetime,Open,High,Low,Close,Adj Close,Volume
2021-03-26 09:30:00-04:00,3045.699951171875,3048.610107421875,3035.0,3041.27001953125,3041.27001953125,124365
2021-03-26 09:35:00-04:00,3040.0,3052.6201171875,3036.0,3049.1298828125,3049.1298828125,59577
2021-03-26 09:40:00-04:00,3049.1298828125,3049.3798828125,3040.0,3045.908935546875,3045.908935546875,38230
2021-03-26 09:45:00-04:00,3047.260009765625,3055.60009765625,3041.830078125,3050.2099609375,3050.2099609375,46463
2021-03-26 09:50:00-04:00,3050.030029296875,3052.989990234375,3048.197021484375,3052.989990234375,3052.989990234375,25502
2021-03-26 09:55:00-04:00,3053.18994140625,3053.969970703125,3045.010009765625,3047.06005859375,3047.06005859375,25883
2021-03-26 10:00:00-04:00,3049.179931640625,3056.659912109375,3042.72998046875,3054.320068359375,3054.320068359375,34918
2021-03-26 10:05:00-04:00,3055.330078125,3055.889892578125,3046.0,3046.64599609375,3046.64599609375,24595
2021-03-26 10:10:00-04:00,3047.300048828125,3047.300048828125,3039.0,3040.22998046875,3040.22998046875,34828
2021-03-26 10:15:00-04:00,3040.780029296875,3041.85009765625,3034.1298828125,3034.285888671875,3034.285888671875,31045
2021-03-26 10:20:00-04:00,3036.10009765625,3038.5,3031.719482421875,3033.3798828125,3033.3798828125,34403
2021-03-26 10:25:00-04:00,3035.103759765625,3045.610107421875,3035.103759765625,3044.949951171875,3044.949951171875,37049
2021-03-26 10:30:00-04:00,3046.2099609375,3050.6201171875,3045.3095703125,3048.5,3048.5,27119
2021-03-26 10:35:00-04:00,3049.72998046875,3051.989990234375,3048.39990234375,3050.580078125,3050.580078125,31516
2021-03-26 10:40:00-04:00,3050.294921875,3054.267333984375,3048.39990234375,3052.64990234375,3052.64990234375,20237
2021-03-26 10:45:00-04:00,3052.0,3055.36474609375,3048.52001953125,3049.18994140625,3049.18994140625,20985
2021-03-26 10:50:00-04:00,3048.2900390625,3049.5400390625,3037.570068359375,3039.2099609375,3039.2099609375,42572
2021-03-26 10:55:00-04:00,3039.0,3040.43994140625,3036.199951171875,3039.77001953125,3039.77001953125,41872
2021-03-26 11:00:00-04:00,3040.47998046875,3043.75,3036.60009765625,3043.75,3043.75,22492
2021-03-26 11:05:00-04:00,3042.489990234375,3045.81005859375,3042.489990234375,3045.010009765625,3045.010009765625,12856
2021-03-26 11:10:00-04:00,3043.9599609375,3043.9599609375,3034.739990234375,3038.030029296875,3038.030029296875,32897
2021-03-26 11:15:00-04:00,3038.6474609375,3042.485107421875,3038.47509765625,3042.0,3042.0,20918
2021-03-26 11:20:00-04:00,3040.800048828125,3042.639892578125,3034.0,3034.360107421875,3034.360107421875,28240
